project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	study_primary_focus	sequence_name	depth	sample_name	sample_age	sample_age_doi	feature	material	sampling_date	archive	archive_project	archive_accession
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	microbial	Sediment core #7.4	435	HA1.1	13900	10.3389/fevo.2019.00189	lake	lake sediment	2015	ENA	PRJNA378719	SRS2040659
Gaok2016	2016	10.1038/srep20174	HuaBei Ba19	NA	NA	China	ecological		NA	AHBB4	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087512
Gao2016	2016	10.1038/srep20174	HuaBei Ba19	NA	NA	China	ecological		NA	AHBB3	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087511
Gao2016	2016	10.1038/srep20174	HuaBei Ba19	NA	NA	China	ecological		NA	AHBB2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087510
Gao2016	2016	10.1038/srep20174	HuaBei Ba19	NA	NA	China	ecological		NA	AHBB1	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087509
Gao2016	2016	10.1038/srep20174	HuaBei Menggulin	NA	NA	China	ecological		NA	AHBM2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087507
Gao2016	2016	10.1038/srep20174	HuaBei Menggulin	NA	NA	China	ecological		NA	AHBM1	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087499
Gao2016	2016	10.1038/srep20174	QinHai Yuexi 	NA	NA	China	ecological		NA	AQH2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087494
Gao2016	2016	10.1038/srep20174	QinHai Yuejin 	NA	NA	China	ecological		NA	AQH1	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087394
Gao2016	2016	10.1038/srep20174	YanChang Yangmahe	NA	NA	China	ecological		NA	AYC2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087490
Gao2016	2016	10.1038/srep20174	YanChang Yangmahe	NA	NA	China	ecological		NA	AYC13	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087391
Gao2016	2016	10.1038/srep20174	YanChang Yangmahe	NA	NA	China	ecological		NA	AYC11	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087390
Gao2016	2016	10.1038/srep20174	DaGang Shenvsi	NA	NA	China	ecological		NA	ADGS2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087389
Gao2016	2016	10.1038/srep20174	DaGang Shenvsi	NA	NA	China	ecological		NA	ADGS1	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087388
Gao2016	2016	10.1038/srep20174	DaGang Kongdian	NA	NA	China	ecological		NA	ADGK3	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087387
Gao2016	2016	10.1038/srep20174	DaGang Kongdian	NA	NA	China	ecological		NA	ADGK2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087386
Gao2016	2016	10.1038/srep20174	DaGang Gangxi 	NA	NA	China	ecological		NA	ADGX3	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087385
Gao2016	2016	10.1038/srep20174	DaGang Gangxi 	NA	NA	China	ecological		NA	ADGX2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087384
Gao2016	2016	10.1038/srep20174	DaGang Gangxi 	NA	NA	China	ecological		NA	ADGX1	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087383
Gao2016	2016	10.1038/srep20174	DaGang Gangdong	NA	NA	China	ecological		NA	ADGD1	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087382
Gao2016	2016	10.1038/srep20174	ShengLi Zhongyiqu	NA	NA	China	ecological		NA	ASLZ2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087380
Gao2016	2016	10.1038/srep20174	ShengLi Zhongyiqu	NA	NA	China	ecological		NA	ASLZ1	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087381
Gao2016	2016	10.1038/srep20174	ShengLi Gudaoxiqu	NA	NA	China	ecological		NA	ASLX2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087379
Gao2016	2016	10.1038/srep20174	ShengLi Gudaoxiqu	NA	NA	China	ecological		NA	ASLX1	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087378
Gao2016	2016	10.1038/srep20174	LiaoHe DXing35	NA	NA	China	ecological		NA	ALHD2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087377
Gao2016	2016	10.1038/srep20174	LiaoHe Jin45	NA	NA	China	ecological		NA	ALHJ2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087376
Gao2016	2016	10.1038/srep20174	LiaoHe Shen84	NA	NA	China	ecological		NA	ALHS2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087375
Gao2016	2016	10.1038/srep20174	LiaoHe Shen84	NA	NA	China	ecological		NA	ALHS1	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087371
Gao2016	2016	10.1038/srep20174	JiLin Honggang	NA	NA	China	ecological		NA	AJL2	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087353
Gao2016	2016	10.1038/srep20174	JiLin Honggang	NA	NA	China	ecological		NA	AJL1	NA	NA	petroleum reservoir	Oil–water mixture	NA	SRA	PRJNA271507	SRS1087351
